"","location","OBJECTID","sensor_id","field_code","individual_ID","fix_lat","fix_long","alt","sat","HDOP","PDOP","species","gmtneg5","sex","age","GPS.positional.dilution"
"38788","MAERC",38788,74,430,"8",27.1782433,-81.1800183,18,6,1,1.3,"swine","4/21/2017 0:00","M","A",NA
"38789","MAERC",38789,74,430,"8",27.1782233,-81.1799883,22,8,0.9,1.2,"swine","4/21/2017 0:30","M","A",NA
"38790","MAERC",38790,74,430,"8",27.1782033,-81.1800383,20,8,0.9,1.3,"swine","4/21/2017 1:00","M","A",NA
"38791","MAERC",38791,74,430,"8",27.1800983,-81.1794783,42,8,1,1.3,"swine","4/21/2017 1:30","M","A",NA
"38792","MAERC",38792,74,430,"8",27.1816633,-81.180125,32,8,0.9,1.6,"swine","4/21/2017 2:00","M","A",NA
"38793","MAERC",38793,74,430,"8",27.18259,-81.1801867,26,8,0.9,1.8,"swine","4/21/2017 2:30","M","A",NA
"38794","MAERC",38794,74,430,"8",27.18376,-81.1815967,12,7,0.9,1.2,"swine","4/21/2017 3:00","M","A",NA
"38795","MAERC",38795,74,430,"8",27.1851967,-81.1821567,0,7,1,1.3,"swine","4/21/2017 3:30","M","A",NA
"38796","MAERC",38796,74,430,"8",27.18516,-81.1808767,0,9,0.8,1.1,"swine","4/21/2017 4:00","M","A",NA
"38797","MAERC",38797,74,430,"8",27.1852317,-81.180835,6,8,0.9,1.2,"swine","4/21/2017 4:30","M","A",NA
"38798","MAERC",38798,74,430,"8",27.1844483,-81.18084,28,8,1.3,1.5,"swine","4/21/2017 5:00","M","A",NA
"38799","MAERC",38799,74,430,"8",27.1783533,-81.1779383,14,8,1,1.3,"swine","4/21/2017 5:30","M","A",NA
"38800","MAERC",38800,74,430,"8",27.1781983,-81.1783883,10,9,0.9,1.2,"swine","4/21/2017 6:00","M","A",NA
"38801","MAERC",38801,74,430,"8",27.1765583,-81.1783783,8,7,1,1.3,"swine","4/21/2017 6:30","M","A",NA
"38802","MAERC",38802,74,430,"8",27.1769533,-81.17797,-30,6,1.3,1.6,"swine","4/21/2017 6:59","M","A",NA
"38803","MAERC",38803,74,430,"8",27.17695,-81.1782717,-64,7,1.2,1.5,"swine","4/21/2017 7:30","M","A",NA
"38804","MAERC",38804,74,430,"8",27.1772833,-81.1783583,-4,7,1.2,1.5,"swine","4/21/2017 8:00","M","A",NA
"38805","MAERC",38805,74,430,"8",27.1774683,-81.1784133,-40,8,1,1.3,"swine","4/21/2017 8:30","M","A",NA
"38806","MAERC",38806,74,430,"8",27.1774183,-81.1781383,-30,8,1.1,1.4,"swine","4/21/2017 9:00","M","A",NA
"38807","MAERC",38807,74,430,"8",27.1772417,-81.1780967,18,9,0.9,1.2,"swine","4/21/2017 9:30","M","A",NA
"38808","MAERC",38808,74,430,"8",27.1769833,-81.1782,28,6,1.4,3.9,"swine","4/21/2017 10:00","M","A",NA
"38809","MAERC",38809,74,430,"8",27.176955,-81.1779083,16,6,1.4,1.7,"swine","4/21/2017 10:30","M","A",NA
"38810","MAERC",38810,74,430,"8",27.1773933,-81.17792,-12,9,0.9,1.2,"swine","4/21/2017 11:00","M","A",NA
"38811","MAERC",38811,74,430,"8",27.177345,-81.178105,40,9,0.8,1.1,"swine","4/21/2017 11:30","M","A",NA
"38812","MAERC",38812,74,430,"8",27.1772967,-81.1781733,48,11,0.7,1,"swine","4/21/2017 12:00","M","A",NA
"38813","MAERC",38813,74,430,"8",27.1772667,-81.1781133,50,10,0.7,1.1,"swine","4/21/2017 12:30","M","A",NA
"38814","MAERC",38814,74,430,"8",27.1771417,-81.1782883,-8,10,0.8,1,"swine","4/21/2017 13:00","M","A",NA
"38815","MAERC",38815,74,430,"8",27.177055,-81.1778433,-44,6,2.7,6.3,"swine","4/21/2017 13:30","M","A",NA
"38816","MAERC",38816,74,430,"8",27.1774117,-81.177925,18,8,1,1.7,"swine","4/21/2017 14:00","M","A",NA
"38817","MAERC",38817,74,430,"8",27.1773383,-81.178055,-10,7,1,1.3,"swine","4/21/2017 14:30","M","A",NA
"38818","MAERC",38818,74,430,"8",27.1772883,-81.1780533,8,8,0.9,1.3,"swine","4/21/2017 15:00","M","A",NA
"38819","MAERC",38819,74,430,"8",27.177325,-81.1780717,8,7,1,1.3,"swine","4/21/2017 15:30","M","A",NA
"38820","MAERC",38820,74,430,"8",27.1771667,-81.1779717,-6,6,1.2,1.5,"swine","4/21/2017 16:00","M","A",NA
"38821","MAERC",38821,74,430,"8",27.1774217,-81.17796,10,5,2.1,2.3,"swine","4/21/2017 16:30","M","A",NA
"38822","MAERC",38822,74,430,"8",27.177285,-81.1782183,0,8,0.9,1.2,"swine","4/21/2017 17:00","M","A",NA
"38823","MAERC",38823,74,430,"8",27.1774133,-81.17829,-30,7,1,1.3,"swine","4/21/2017 17:30","M","A",NA
"38824","MAERC",38824,74,430,"8",27.177395,-81.1780517,42,8,0.9,1.2,"swine","4/21/2017 18:00","M","A",NA
