"","location","OBJECTID","sensor_id","field_code","individual_ID","fix_lat","fix_long","alt","sat","HDOP","PDOP","species","gmtneg5","sex","age","GPS.positional.dilution"
"133730","MAERC",133730,64,420,"29",27.16911,-81.1981083,8,10,0.7,1.1,"swine","4/12/2017 0:00","M","A",NA
"133731","MAERC",133731,64,420,"29",27.1691517,-81.1981083,6,9,0.8,1.2,"swine","4/12/2017 0:30","M","A",NA
"133732","MAERC",133732,64,420,"29",27.169165,-81.1981,2,9,0.8,1.2,"swine","4/12/2017 1:00","M","A",NA
"133733","MAERC",133733,64,420,"29",27.1689817,-81.1980633,50,8,1,1.3,"swine","4/12/2017 1:30","M","A",NA
"133734","MAERC",133734,64,420,"29",27.1689317,-81.1979583,42,9,1,1.2,"swine","4/12/2017 2:00","M","A",NA
"133735","MAERC",133735,64,420,"29",27.1690383,-81.1981133,64,8,1.1,1.4,"swine","4/12/2017 2:30","M","A",NA
"133736","MAERC",133736,64,420,"29",27.1693067,-81.1981033,36,6,1.3,1.6,"swine","4/12/2017 3:00","M","A",NA
"133737","MAERC",133737,64,420,"29",27.1691167,-81.19767,-20,6,1.3,1.6,"swine","4/12/2017 3:30","M","A",NA
"133738","MAERC",133738,64,420,"29",27.1691933,-81.1977767,-62,8,0.9,1.3,"swine","4/12/2017 4:00","M","A",NA
"133739","MAERC",133739,64,420,"29",27.1652767,-81.1999567,-34,10,0.8,1.1,"swine","4/12/2017 4:30","M","A",NA
"133740","MAERC",133740,64,420,"29",27.1622417,-81.1999467,-16,7,1,1.3,"swine","4/12/2017 5:00","M","A",NA
"133741","MAERC",133741,64,420,"29",27.1621867,-81.2001417,2,9,1,1.3,"swine","4/12/2017 5:30","M","A",NA
"133742","MAERC",133742,64,420,"29",27.16218,-81.2002267,6,10,0.8,1.1,"swine","4/12/2017 6:00","M","A",NA
"133743","MAERC",133743,64,420,"29",27.1621917,-81.2002417,2,10,0.8,1.2,"swine","4/12/2017 6:30","M","A",NA
"133744","MAERC",133744,64,420,"29",27.1622883,-81.2001467,-10,9,0.8,1.2,"swine","4/12/2017 6:59","M","A",NA
"133745","MAERC",133745,64,420,"29",27.1622817,-81.2000533,-16,8,1,1.3,"swine","4/12/2017 7:30","M","A",NA
