"","location","OBJECTID","sensor_id","field_code","individual_ID","fix_lat","fix_long","alt","sat","HDOP","PDOP","species","gmtneg5","sex","age","GPS.positional.dilution"
"64080","MAERC",64080,57,528,"12",27.1714217,-81.1850967,18,9,0.8,1.1,"swine","4/12/2017 0:00","F","A",NA
"64081","MAERC",64081,57,528,"12",27.171375,-81.1850383,-36,8,1,1.3,"swine","4/12/2017 0:30","F","A",NA
"64082","MAERC",64082,57,528,"12",27.171385,-81.184975,-82,8,1,1.4,"swine","4/12/2017 1:00","F","A",NA
"64083","MAERC",64083,57,528,"12",27.1715217,-81.184965,-140,7,1.1,1.4,"swine","4/12/2017 1:30","F","A",NA
"64084","MAERC",64084,57,528,"12",27.1702983,-81.1859517,-66,8,1.2,1.4,"swine","4/12/2017 2:00","F","A",NA
"64085","MAERC",64085,57,528,"12",27.171185,-81.1849517,58,8,1.1,1.4,"swine","4/12/2017 2:30","F","A",NA
"64086","MAERC",64086,57,528,"12",27.1710767,-81.1848683,66,8,1,1.3,"swine","4/12/2017 3:00","F","A",NA
"64087","MAERC",64087,57,528,"12",27.1709483,-81.1847483,38,7,1,1.3,"swine","4/12/2017 3:30","F","A",NA
"64088","MAERC",64088,57,528,"12",27.171265,-81.1850783,-30,8,1,1.3,"swine","4/12/2017 4:00","F","A",NA
"64089","MAERC",64089,57,528,"12",27.1713117,-81.1848683,-24,7,1,1.4,"swine","4/12/2017 4:30","F","A",NA
"64090","MAERC",64090,57,528,"12",27.1709617,-81.18502,-4,6,1.4,1.7,"swine","4/12/2017 5:00","F","A",NA
"64091","MAERC",64091,57,528,"12",27.17092,-81.1850383,-10,6,1.5,1.7,"swine","4/12/2017 5:30","F","A",NA
"64092","MAERC",64092,57,528,"12",27.1708117,-81.1848133,0,6,1.7,1.9,"swine","4/12/2017 6:00","F","A",NA
"64093","MAERC",64093,57,528,"12",27.171075,-81.1848183,-6,7,1.1,2.2,"swine","4/12/2017 6:30","F","A",NA
"64094","MAERC",64094,57,528,"12",27.1711317,-81.1849583,-38,7,1,1.3,"swine","4/12/2017 6:59","F","A",NA
"64095","MAERC",64095,57,528,"12",27.1709833,-81.18513,-44,7,1.1,1.4,"swine","4/12/2017 7:30","F","A",NA
"64096","MAERC",64096,57,528,"12",27.1708717,-81.1850583,-22,6,1.2,1.6,"swine","4/12/2017 8:00","F","A",NA
"64097","MAERC",64097,57,528,"12",27.1709783,-81.1848617,4,8,1,1.3,"swine","4/12/2017 8:30","F","A",NA
"64098","MAERC",64098,57,528,"12",27.1713783,-81.1847417,48,7,1.1,1.4,"swine","4/12/2017 9:00","F","A",NA
"64099","MAERC",64099,57,528,"12",27.17175,-81.1846567,-12,9,0.9,1.2,"swine","4/12/2017 9:30","F","A",NA
"64100","MAERC",64100,57,528,"12",27.1713067,-81.1847117,-34,9,0.9,1.2,"swine","4/12/2017 10:00","F","A",NA
"64101","MAERC",64101,57,528,"12",27.17125,-81.1848217,12,9,1,1.3,"swine","4/12/2017 10:30","F","A",NA
"64102","MAERC",64102,57,528,"12",27.1713333,-81.1848733,4,7,1.2,1.5,"swine","4/12/2017 11:00","F","A",NA
"64103","MAERC",64103,57,528,"12",27.1710883,-81.1847167,86,6,1.4,1.7,"swine","4/12/2017 11:30","F","A",NA
