"","location","OBJECTID","sensor_id","field_code","individual_ID","fix_lat","fix_long","alt","sat","HDOP","PDOP","species","gmtneg5","sex","age","GPS.positional.dilution"
"127512","MAERC",127512,71,439,"28",27.1673083,-81.1820417,16,7,1.1,1.4,"swine","4/20/2017 0:04","F","A",NA
"127513","MAERC",127513,71,439,"28",27.1670167,-81.1821117,116,6,1.4,1.6,"swine","4/20/2017 0:34","F","A",NA
"127514","MAERC",127514,71,439,"28",27.1674083,-81.1821083,6,8,1,1.3,"swine","4/20/2017 1:05","F","A",NA
"127515","MAERC",127515,71,439,"28",27.1673267,-81.182035,16,5,1.7,1.9,"swine","4/20/2017 1:35","F","A",NA
"127516","MAERC",127516,71,439,"28",27.1671283,-81.18183,48,8,1.1,1.4,"swine","4/20/2017 2:05","F","A",NA
"127517","MAERC",127517,71,439,"28",27.1671883,-81.1818217,42,7,1.4,1.6,"swine","4/20/2017 2:35","F","A",NA
"127518","MAERC",127518,71,439,"28",27.166965,-81.18165,28,8,1,1.3,"swine","4/20/2017 3:05","F","A",NA
"127519","MAERC",127519,71,439,"28",27.1672383,-81.1817233,-38,7,1.1,1.4,"swine","4/20/2017 3:35","F","A",NA
"127520","MAERC",127520,71,439,"28",27.1672317,-81.181745,-40,8,0.9,1.3,"swine","4/20/2017 4:05","F","A",NA
"127521","MAERC",127521,71,439,"28",27.1670733,-81.1816783,-26,7,1.3,1.6,"swine","4/20/2017 4:35","F","A",NA
"127522","MAERC",127522,71,439,"28",27.16718,-81.1820217,20,7,1.4,1.6,"swine","4/20/2017 5:05","F","A",NA
"127523","MAERC",127523,71,439,"28",27.167175,-81.1818483,46,9,0.9,1.3,"swine","4/20/2017 5:36","F","A",NA
"127524","MAERC",127524,71,439,"28",27.1667483,-81.181785,42,7,1,1.4,"swine","4/20/2017 6:06","F","A",NA
"127525","MAERC",127525,71,439,"28",27.16676,-81.18201,48,7,1.1,1.5,"swine","4/20/2017 6:36","F","A",NA
"127526","MAERC",127526,71,439,"28",27.1675417,-81.1810583,28,5,1.5,1.8,"swine","4/20/2017 7:06","F","A",NA
"127527","MAERC",127527,71,439,"28",27.16688,-81.1819133,-22,7,1.2,1.5,"swine","4/20/2017 7:36","F","A",NA
"127528","MAERC",127528,71,439,"28",27.16677,-81.1816283,-16,8,1,1.3,"swine","4/20/2017 8:06","F","A",NA
"127529","MAERC",127529,71,439,"28",27.1671567,-81.18236,-104,6,2.4,5.9,"swine","4/20/2017 8:36","F","A",NA
"127530","MAERC",127530,71,439,"28",27.1671583,-81.1818183,24,8,0.9,1.2,"swine","4/20/2017 9:06","F","A",NA
"127531","MAERC",127531,71,439,"28",27.1670967,-81.1816517,18,8,1.4,1.6,"swine","4/20/2017 9:36","F","A",NA
