"","location","OBJECTID","sensor_id","field_code","individual_ID","fix_lat","fix_long","alt","sat","HDOP","PDOP","species","gmtneg5","sex","age","GPS.positional.dilution"
"81253","MAERC",81253,63,535,"18",27.168155,-81.1828433,10,11,0.7,1,"swine","4/12/2017 0:00","F","A",NA
"81254","MAERC",81254,63,535,"18",27.16807,-81.1829617,18,8,0.9,1.3,"swine","4/12/2017 0:30","F","A",NA
"81255","MAERC",81255,63,535,"18",27.1682217,-81.1827033,-78,7,1.1,1.5,"swine","4/12/2017 1:00","F","A",NA
"81256","MAERC",81256,63,535,"18",27.168135,-81.1827333,-70,7,1.1,1.4,"swine","4/12/2017 1:30","F","A",NA
"81257","MAERC",81257,63,535,"18",27.1678833,-81.182885,40,8,1,1.3,"swine","4/12/2017 1:59","F","A",NA
"81258","MAERC",81258,63,535,"18",27.16802,-81.18267,58,7,1.3,1.5,"swine","4/12/2017 2:30","F","A",NA
"81259","MAERC",81259,63,535,"18",27.1678917,-81.1828017,38,9,0.9,1.2,"swine","4/12/2017 3:00","F","A",NA
"81260","MAERC",81260,63,535,"18",27.167985,-81.1827367,34,9,0.9,1.2,"swine","4/12/2017 3:30","F","A",NA
"81261","MAERC",81261,63,535,"18",27.168055,-81.1826983,-26,9,0.8,1.2,"swine","4/12/2017 4:00","F","A",NA
"81262","MAERC",81262,63,535,"18",27.16795,-81.1825983,-8,7,1,1.3,"swine","4/12/2017 4:30","F","A",NA
"81263","MAERC",81263,63,535,"18",27.1684667,-81.1825133,-2,10,0.8,1.1,"swine","4/12/2017 5:00","F","A",NA
"81264","MAERC",81264,63,535,"18",27.1679,-81.1825017,14,9,1,1.3,"swine","4/12/2017 5:30","F","A",NA
"81265","MAERC",81265,63,535,"18",27.1679433,-81.1824383,34,11,0.8,1.1,"swine","4/12/2017 6:00","F","A",NA
"81266","MAERC",81266,63,535,"18",27.1678383,-81.1822617,8,8,1,1.3,"swine","4/12/2017 6:30","F","A",NA
"81267","MAERC",81267,63,535,"18",27.167725,-81.1822717,-36,7,1,1.3,"swine","4/12/2017 6:59","F","A",NA
"81268","MAERC",81268,63,535,"18",27.1678433,-81.1824633,-104,6,1.2,3.5,"swine","4/12/2017 7:30","F","A",NA
"81269","MAERC",81269,63,535,"18",27.1676633,-81.182205,10,7,1.1,1.4,"swine","4/12/2017 8:00","F","A",NA
"81270","MAERC",81270,63,535,"18",27.16808,-81.1820217,24,10,0.8,1.1,"swine","4/12/2017 8:30","F","A",NA
"81271","MAERC",81271,63,535,"18",27.1681567,-81.1820117,-2,10,0.9,1.2,"swine","4/12/2017 9:00","F","A",NA
"81272","MAERC",81272,63,535,"18",27.1680933,-81.1823633,-16,9,1,1.3,"swine","4/12/2017 9:30","F","A",NA
"81273","MAERC",81273,63,535,"18",27.1680317,-81.1822533,16,10,0.8,1.1,"swine","4/12/2017 10:00","F","A",NA
"81274","MAERC",81274,63,535,"18",27.1679717,-81.1821167,30,11,0.7,1,"swine","4/12/2017 10:30","F","A",NA
"81275","MAERC",81275,63,535,"18",27.1677417,-81.182295,22,7,1.3,1.6,"swine","4/12/2017 11:00","F","A",NA
"81276","MAERC",81276,63,535,"18",27.1680917,-81.1822933,-4,8,1,1.9,"swine","4/12/2017 11:30","F","A",NA
