"","location","OBJECTID","sensor_id","field_code","individual_ID","fix_lat","fix_long","alt","sat","HDOP","PDOP","species","gmtneg5","sex","age","GPS.positional.dilution"
"125815","MAERC",125815,80,419,"27",27.1744167,-81.1788883,-178,7,1.1,1.4,"swine","5/5/2017 0:12","M","A",NA
"125816","MAERC",125816,80,419,"27",27.1738533,-81.1790283,0,5,2.1,2.3,"swine","5/5/2017 0:42","M","A",NA
"125817","MAERC",125817,80,419,"27",27.1736867,-81.179025,54,8,1.1,1.3,"swine","5/5/2017 1:12","M","A",NA
"125818","MAERC",125818,80,419,"27",27.1738583,-81.1791733,18,7,1.1,1.4,"swine","5/5/2017 1:43","M","A",NA
"125819","MAERC",125819,80,419,"27",27.1735283,-81.1785517,-62,7,1.2,1.5,"swine","5/5/2017 2:13","M","A",NA
"125820","MAERC",125820,80,419,"27",27.17371,-81.1791883,10,9,0.8,1.2,"swine","5/5/2017 2:43","M","A",NA
"125821","MAERC",125821,80,419,"27",27.1731333,-81.17986,0,5,1.9,2.2,"swine","5/5/2017 3:13","M","A",NA
"125822","MAERC",125822,80,419,"27",27.1737667,-81.1792367,14,7,1.2,1.5,"swine","5/5/2017 3:43","M","A",NA
"125823","MAERC",125823,80,419,"27",27.1736683,-81.179245,-8,5,1.4,1.7,"swine","5/5/2017 4:14","M","A",NA
"125824","MAERC",125824,80,419,"27",27.1737033,-81.1791767,-10,10,0.8,1.2,"swine","5/5/2017 4:44","M","A",NA
"125825","MAERC",125825,80,419,"27",27.173645,-81.17916,-2,9,0.9,1.2,"swine","5/5/2017 5:14","M","A",NA
"125826","MAERC",125826,80,419,"27",27.1735917,-81.1792017,12,7,1.1,1.4,"swine","5/5/2017 5:44","M","A",NA
"125827","MAERC",125827,80,419,"27",27.1723267,-81.17875,-2,6,1.3,1.6,"swine","5/5/2017 6:14","M","A",NA
"125828","MAERC",125828,80,419,"27",27.17218,-81.1773617,16,8,1,1.3,"swine","5/5/2017 6:44","M","A",NA
"125829","MAERC",125829,80,419,"27",27.171905,-81.177415,20,6,1,1.4,"swine","5/5/2017 7:14","M","A",NA
"125830","MAERC",125830,80,419,"27",27.1722267,-81.1770867,0,8,0.9,1.2,"swine","5/5/2017 7:44","M","A",NA
"125831","MAERC",125831,80,419,"27",27.1722383,-81.177325,-68,7,1,1.2,"swine","5/5/2017 8:15","M","A",NA
"125832","MAERC",125832,80,419,"27",27.1722,-81.1772033,-34,6,1.2,1.5,"swine","5/5/2017 8:45","M","A",NA
"125833","MAERC",125833,80,419,"27",27.17216,-81.17679,6,7,1,1.3,"swine","5/5/2017 9:15","M","A",NA
"125834","MAERC",125834,80,419,"27",27.1724117,-81.177245,16,7,1,1.3,"swine","5/5/2017 9:45","M","A",NA
"125835","MAERC",125835,80,419,"27",27.172195,-81.1771917,-44,6,1.2,1.5,"swine","5/5/2017 10:16","M","A",NA
"125836","MAERC",125836,80,419,"27",27.1720867,-81.1771217,0,8,0.9,1.2,"swine","5/5/2017 10:46","M","A",NA
"125837","MAERC",125837,80,419,"27",27.1714617,-81.1779917,-44,6,1.3,1.6,"swine","5/5/2017 11:16","M","A",NA
"125838","MAERC",125838,80,419,"27",27.1721667,-81.177215,10,8,0.9,1.2,"swine","5/5/2017 11:47","M","A",NA
"125839","MAERC",125839,80,419,"27",27.171515,-81.17715,-156,6,1.4,1.7,"swine","5/5/2017 12:17","M","A",NA
"125840","MAERC",125840,80,419,"27",27.171715,-81.1767783,-116,6,1.4,1.7,"swine","5/5/2017 12:47","M","A",NA
"125841","MAERC",125841,80,419,"27",27.17196,-81.1769067,44,7,1,1.3,"swine","5/5/2017 13:17","M","A",NA
"125842","MAERC",125842,80,419,"27",27.17216,-81.1770667,62,7,0.9,1.2,"swine","5/5/2017 13:47","M","A",NA
"125843","MAERC",125843,80,419,"27",27.1721967,-81.17711,60,7,1,1.3,"swine","5/5/2017 14:18","M","A",NA
"125844","MAERC",125844,80,419,"27",27.1720467,-81.1768133,-36,7,1.2,1.5,"swine","5/5/2017 14:48","M","A",NA
"125845","MAERC",125845,80,419,"27",27.1721167,-81.17705,-40,6,1.2,1.5,"swine","5/5/2017 15:18","M","A",NA
"125846","MAERC",125846,80,419,"27",27.1715967,-81.1764417,14,6,1.4,1.7,"swine","5/5/2017 15:48","M","A",NA
"125847","MAERC",125847,80,419,"27",27.1714467,-81.1769817,-22,6,1.7,2,"swine","5/5/2017 16:19","M","A",NA
"125848","MAERC",125848,80,419,"27",27.1723717,-81.1772683,-118,7,1.1,1.4,"swine","5/5/2017 16:49","M","A",NA
"125849","MAERC",125849,80,419,"27",27.1728,-81.1771067,-136,7,0.9,1.3,"swine","5/5/2017 17:19","M","A",NA
"125850","MAERC",125850,80,419,"27",27.1720117,-81.1773133,-26,6,1.2,1.5,"swine","5/5/2017 17:49","M","A",NA
"125851","MAERC",125851,80,419,"27",27.1719517,-81.177655,68,6,1.3,1.6,"swine","5/5/2017 18:20","M","A",NA
"125852","MAERC",125852,80,419,"27",27.1718033,-81.1765117,-60,7,1.1,1.4,"swine","5/5/2017 18:50","M","A",NA
"125853","MAERC",125853,80,419,"27",27.1721283,-81.1771,-10,8,1,1.3,"swine","5/5/2017 19:20","M","A",NA
"125854","MAERC",125854,80,419,"27",27.17195,-81.1768067,220,9,1,1.2,"swine","5/5/2017 19:51","M","A",NA
"125855","MAERC",125855,80,419,"27",27.1720383,-81.1770733,12,6,1.2,1.5,"swine","5/5/2017 20:21","M","A",NA
"125856","MAERC",125856,80,419,"27",27.1720067,-81.1770933,26,7,1.1,1.5,"swine","5/5/2017 20:51","M","A",NA
"125857","MAERC",125857,80,419,"27",27.17204,-81.1772617,-8,5,1.6,1.9,"swine","5/5/2017 21:21","M","A",NA
"125858","MAERC",125858,80,419,"27",27.1720633,-81.1771683,18,8,1,1.3,"swine","5/5/2017 21:51","M","A",NA
"125859","MAERC",125859,80,419,"27",27.17218,-81.177285,-4,9,0.8,1.1,"swine","5/5/2017 22:21","M","A",NA
"125860","MAERC",125860,80,419,"27",27.1721517,-81.1772567,-4,9,0.8,1.2,"swine","5/5/2017 22:51","M","A",NA
"125861","MAERC",125861,80,419,"27",27.17237,-81.1772017,-92,7,1.4,4,"swine","5/5/2017 23:21","M","A",NA
"125862","MAERC",125862,80,419,"27",27.172155,-81.1772483,-164,6,1.2,1.6,"swine","5/5/2017 23:52","M","A",NA
"125863","MAERC",125863,80,419,"27",27.1717683,-81.177445,4,6,1.4,1.7,"swine","5/6/2017 0:22","M","A",NA
"125864","MAERC",125864,80,419,"27",27.1718983,-81.1774867,84,7,1.3,1.5,"swine","5/6/2017 0:52","M","A",NA
"125865","MAERC",125865,80,419,"27",27.171925,-81.17686,88,8,0.9,1.2,"swine","5/6/2017 1:22","M","A",NA
"125866","MAERC",125866,80,419,"27",27.17159,-81.1771867,90,8,0.9,1.3,"swine","5/6/2017 1:52","M","A",NA
"125867","MAERC",125867,80,419,"27",27.1720367,-81.176875,2,7,1,1.4,"swine","5/6/2017 2:22","M","A",NA
"125868","MAERC",125868,80,419,"27",27.1721533,-81.176955,-76,8,0.9,1.3,"swine","5/6/2017 2:52","M","A",NA
"125869","MAERC",125869,80,419,"27",27.1721967,-81.177145,-22,8,1,1.3,"swine","5/6/2017 3:22","M","A",NA
"125870","MAERC",125870,80,419,"27",27.17169,-81.17689,-12,6,1.5,1.7,"swine","5/6/2017 3:53","M","A",NA
"125871","MAERC",125871,80,419,"27",27.1718333,-81.17683,60,7,1.1,1.4,"swine","5/6/2017 4:23","M","A",NA
"125872","MAERC",125872,80,419,"27",27.1716667,-81.176805,60,6,1.1,1.5,"swine","5/6/2017 4:53","M","A",NA
"125873","MAERC",125873,80,419,"27",27.1720917,-81.1771667,10,9,0.8,1.2,"swine","5/6/2017 5:23","M","A",NA
"125874","MAERC",125874,80,419,"27",27.1719183,-81.1773817,-8,8,1.1,1.3,"swine","5/6/2017 5:54","M","A",NA
"125875","MAERC",125875,80,419,"27",27.1720633,-81.1770633,0,8,1,1.3,"swine","5/6/2017 6:24","M","A",NA
"125876","MAERC",125876,80,419,"27",27.172115,-81.1771817,-30,5,1.6,1.9,"swine","5/6/2017 6:54","M","A",NA
