"","location","OBJECTID","sensor_id","field_code","individual_ID","fix_lat","fix_long","alt","sat","HDOP","PDOP","species","gmtneg5","sex","age","GPS.positional.dilution"
"40525","MAERC",40525,68,526,"10",27.1726283,-81.1825883,0,9,0.8,1.2,"swine","4/19/2017 0:00","F","A",NA
"40526","MAERC",40526,68,526,"10",27.1726867,-81.1834567,14,8,0.9,1.3,"swine","4/19/2017 0:30","F","A",NA
"40527","MAERC",40527,68,526,"10",27.172635,-81.182785,22,7,1,1.3,"swine","4/19/2017 1:00","F","A",NA
"40528","MAERC",40528,68,526,"10",27.17279,-81.1828067,20,7,1.2,1.5,"swine","4/19/2017 1:30","F","A",NA
"40529","MAERC",40529,68,526,"10",27.1743867,-81.18349,-2,6,1.5,1.7,"swine","4/19/2017 2:00","F","A",NA
"40530","MAERC",40530,68,526,"10",27.174685,-81.1845067,-10,7,1.3,1.6,"swine","4/19/2017 2:30","F","A",NA
"40531","MAERC",40531,68,526,"10",27.173865,-81.1818067,-2,6,1.4,1.7,"swine","4/19/2017 3:00","F","A",NA
"40532","MAERC",40532,68,526,"10",27.1711867,-81.1822233,2,6,1.2,1.5,"swine","4/19/2017 3:30","F","A",NA
"40533","MAERC",40533,68,526,"10",27.1710317,-81.1823167,20,7,1,1.3,"swine","4/19/2017 4:00","F","A",NA
"40534","MAERC",40534,68,526,"10",27.17023,-81.1814917,-54,6,1.2,1.5,"swine","4/19/2017 4:30","F","A",NA
"40535","MAERC",40535,68,526,"10",27.169835,-81.180875,40,8,1.1,1.4,"swine","4/19/2017 5:00","F","A",NA
"40536","MAERC",40536,68,526,"10",27.16947,-81.1815717,-4,9,1.1,1.4,"swine","4/19/2017 5:30","F","A",NA
"40537","MAERC",40537,68,526,"10",27.1701383,-81.1819667,30,9,1,1.3,"swine","4/19/2017 6:00","F","A",NA
"40538","MAERC",40538,68,526,"10",27.1697517,-81.1822367,-2,6,1.3,1.5,"swine","4/19/2017 6:30","F","A",NA
"40539","MAERC",40539,68,526,"10",27.16937,-81.1823383,-40,6,1.3,1.6,"swine","4/19/2017 6:59","F","A",NA
"40540","MAERC",40540,68,526,"10",27.170035,-81.1821417,24,6,1.8,2,"swine","4/19/2017 7:30","F","A",NA
"40541","MAERC",40541,68,526,"10",27.1699017,-81.182495,-6,6,1.4,1.7,"swine","4/19/2017 8:00","F","A",NA
"40542","MAERC",40542,68,526,"10",27.1697667,-81.1819417,6,8,1.1,2,"swine","4/19/2017 8:30","F","A",NA
"40543","MAERC",40543,68,526,"10",27.1697617,-81.181975,24,7,1.1,2.6,"swine","4/19/2017 9:00","F","A",NA
"40544","MAERC",40544,68,526,"10",27.1697683,-81.182005,0,7,1,1.4,"swine","4/19/2017 9:30","F","A",NA
"40545","MAERC",40545,68,526,"10",27.1699783,-81.1815533,38,7,1.3,2.1,"swine","4/19/2017 10:00","F","A",NA
"40546","MAERC",40546,68,526,"10",27.169535,-81.1810767,0,9,0.8,1.1,"swine","4/19/2017 10:30","F","A",NA
"40547","MAERC",40547,68,526,"10",27.1694383,-81.1810133,0,6,1.2,2.4,"swine","4/19/2017 11:00","F","A",NA
"40548","MAERC",40548,68,526,"10",27.1696583,-81.1809767,32,8,1,2.2,"swine","4/19/2017 11:30","F","A",NA
"40549","MAERC",40549,68,526,"10",27.1696983,-81.181065,14,8,0.9,1.3,"swine","4/19/2017 12:00","F","A",NA
"40550","MAERC",40550,68,526,"10",27.16944,-81.1809567,30,9,0.8,1.1,"swine","4/19/2017 12:30","F","A",NA
"40551","MAERC",40551,68,526,"10",27.1694917,-81.1809183,0,7,1.3,1.6,"swine","4/19/2017 13:00","F","A",NA
"40552","MAERC",40552,68,526,"10",27.1696333,-81.1809683,26,8,1,1.7,"swine","4/19/2017 13:30","F","A",NA
"40553","MAERC",40553,68,526,"10",27.1694917,-81.1808617,10,6,1.4,1.7,"swine","4/19/2017 14:00","F","A",NA
"40554","MAERC",40554,68,526,"10",27.1695083,-81.1809267,22,9,0.8,1.2,"swine","4/19/2017 14:30","F","A",NA
