"","location","OBJECTID","sensor_id","field_code","individual_ID","fix_lat","fix_long","alt","sat","HDOP","PDOP","species","gmtneg5","sex","age","GPS.positional.dilution"
"72022","MAERC",72022,62,523,"17",27.17725,-81.1706383,48,7,1.1,1.4,"swine","4/10/2017 0:00","F","A",NA
"72023","MAERC",72023,62,523,"17",27.1766767,-81.1703467,24,6,1.2,1.5,"swine","4/10/2017 0:30","F","A",NA
"72024","MAERC",72024,62,523,"17",27.1767617,-81.1705417,76,6,1.1,1.4,"swine","4/10/2017 1:00","F","A",NA
"72025","MAERC",72025,62,523,"17",27.1770233,-81.1705367,24,6,1.3,1.6,"swine","4/10/2017 1:30","F","A",NA
"72026","MAERC",72026,62,523,"17",27.177075,-81.1705883,18,9,0.9,1.6,"swine","4/10/2017 2:00","F","A",NA
"72027","MAERC",72027,62,523,"17",27.1771567,-81.170535,34,8,0.9,1.2,"swine","4/10/2017 2:30","F","A",NA
"72028","MAERC",72028,62,523,"17",27.177155,-81.170635,2,8,0.9,1.2,"swine","4/10/2017 3:00","F","A",NA
"72029","MAERC",72029,62,523,"17",27.1771983,-81.170695,0,9,0.8,1.1,"swine","4/10/2017 3:30","F","A",NA
"72030","MAERC",72030,62,523,"17",27.1771617,-81.1707783,22,7,1.1,1.4,"swine","4/10/2017 4:00","F","A",NA
"72031","MAERC",72031,62,523,"17",27.177175,-81.170755,20,8,0.9,1.3,"swine","4/10/2017 4:30","F","A",NA
"72032","MAERC",72032,62,523,"17",27.1771633,-81.170615,16,7,1.1,2.1,"swine","4/10/2017 5:00","F","A",NA
"72033","MAERC",72033,62,523,"17",27.17708,-81.1705367,26,6,1.6,1.8,"swine","4/10/2017 5:30","F","A",NA
"72034","MAERC",72034,62,523,"17",27.1771367,-81.1705483,22,8,0.9,1.3,"swine","4/10/2017 6:00","F","A",NA
"72035","MAERC",72035,62,523,"17",27.176725,-81.1704583,60,11,0.8,1.1,"swine","4/10/2017 6:30","F","A",NA
"72036","MAERC",72036,62,523,"17",27.17706,-81.1705783,4,9,0.8,1.2,"swine","4/10/2017 7:00","F","A",NA
"72037","MAERC",72037,62,523,"17",27.1770233,-81.1706167,-8,9,0.9,1.8,"swine","4/10/2017 7:30","F","A",NA
"72038","MAERC",72038,62,523,"17",27.1771867,-81.1702883,44,9,0.9,1.1,"swine","4/10/2017 8:00","F","A",NA
"72039","MAERC",72039,62,523,"17",27.1775867,-81.1700167,10,10,0.8,1.1,"swine","4/10/2017 8:30","F","A",NA
"72040","MAERC",72040,62,523,"17",27.1776883,-81.17029,22,9,1,1.9,"swine","4/10/2017 9:00","F","A",NA
"72041","MAERC",72041,62,523,"17",27.1777417,-81.17016,16,9,0.9,1.2,"swine","4/10/2017 9:30","F","A",NA
"72042","MAERC",72042,62,523,"17",27.1776383,-81.1700317,14,11,0.7,1,"swine","4/10/2017 10:00","F","A",NA
"72043","MAERC",72043,62,523,"17",27.1776167,-81.1700217,18,9,0.9,1.2,"swine","4/10/2017 10:30","F","A",NA
"72044","MAERC",72044,62,523,"17",27.1775483,-81.1701083,16,7,1.4,2.5,"swine","4/10/2017 11:00","F","A",NA
"72045","MAERC",72045,62,523,"17",27.1778383,-81.1700533,-28,9,0.9,1.2,"swine","4/10/2017 11:30","F","A",NA
"72046","MAERC",72046,62,523,"17",27.1778667,-81.1702683,-10,9,0.9,1.2,"swine","4/10/2017 12:00","F","A",NA
"72047","MAERC",72047,62,523,"17",27.1776533,-81.1702567,40,6,1.1,1.5,"swine","4/10/2017 12:30","F","A",NA
"72048","MAERC",72048,62,523,"17",27.1775733,-81.1701217,20,9,0.8,1.1,"swine","4/10/2017 13:00","F","A",NA
"72049","MAERC",72049,62,523,"17",27.1776867,-81.1702283,34,9,0.9,1.2,"swine","4/10/2017 13:30","F","A",NA
"72050","MAERC",72050,62,523,"17",27.1776917,-81.1700083,-2,9,0.9,1.1,"swine","4/10/2017 14:00","F","A",NA
"72051","MAERC",72051,62,523,"17",27.1776,-81.1699283,-8,6,1.4,1.7,"swine","4/10/2017 14:30","F","A",NA
"72052","MAERC",72052,62,523,"17",27.177685,-81.1700433,24,9,0.9,1.2,"swine","4/10/2017 14:59","F","A",NA
"72053","MAERC",72053,62,523,"17",27.177615,-81.1698767,32,10,0.7,1.1,"swine","4/10/2017 15:30","F","A",NA
"72054","MAERC",72054,62,523,"17",27.1775267,-81.1700417,26,10,0.8,1.1,"swine","4/10/2017 16:00","F","A",NA
"72055","MAERC",72055,62,523,"17",27.1774817,-81.1701833,34,9,0.9,1.3,"swine","4/10/2017 16:30","F","A",NA
"72056","MAERC",72056,62,523,"17",27.1774483,-81.16997,-26,9,1,1.3,"swine","4/10/2017 17:00","F","A",NA
"72057","MAERC",72057,62,523,"17",27.177515,-81.1700467,-8,9,1,1.2,"swine","4/10/2017 17:30","F","A",NA
"72058","MAERC",72058,62,523,"17",27.177625,-81.1700983,14,10,0.8,1.1,"swine","4/10/2017 18:00","F","A",NA
"72059","MAERC",72059,62,523,"17",27.17772,-81.17014,20,10,0.9,2.1,"swine","4/10/2017 18:30","F","A",NA
"72060","MAERC",72060,62,523,"17",27.177825,-81.17002,-8,10,0.9,2.2,"swine","4/10/2017 19:00","F","A",NA
"72061","MAERC",72061,62,523,"17",27.17818,-81.1690483,-6,9,1,1.3,"swine","4/10/2017 19:30","F","A",NA
"72062","MAERC",72062,62,523,"17",27.1787683,-81.1693633,20,10,0.8,1.1,"swine","4/10/2017 20:00","F","A",NA
"72063","MAERC",72063,62,523,"17",27.1787083,-81.1702917,54,8,0.9,1.2,"swine","4/10/2017 20:30","F","A",NA
"72064","MAERC",72064,62,523,"17",27.1786367,-81.1706133,-4,8,1,1.3,"swine","4/10/2017 21:00","F","A",NA
"72065","MAERC",72065,62,523,"17",27.1781983,-81.1701433,12,9,0.8,1.1,"swine","4/10/2017 21:30","F","A",NA
"72066","MAERC",72066,62,523,"17",27.1790683,-81.1697883,-2,8,1,1.3,"swine","4/10/2017 22:00","F","A",NA
"72067","MAERC",72067,62,523,"17",27.1787817,-81.16983,20,9,0.9,1.2,"swine","4/10/2017 22:30","F","A",NA
"72068","MAERC",72068,62,523,"17",27.178735,-81.1699017,14,9,0.8,1.1,"swine","4/10/2017 23:00","F","A",NA
"72069","MAERC",72069,62,523,"17",27.178785,-81.1698933,12,8,1,1.3,"swine","4/10/2017 23:30","F","A",NA
"72070","MAERC",72070,62,523,"17",27.1789467,-81.16981,-6,10,0.7,1.1,"swine","4/11/2017 0:00","F","A",NA
"72071","MAERC",72071,62,523,"17",27.178805,-81.16976,-16,9,0.8,1.2,"swine","4/11/2017 0:30","F","A",NA
"72072","MAERC",72072,62,523,"17",27.1789967,-81.1696933,-22,5,1.9,2.1,"swine","4/11/2017 1:00","F","A",NA
"72073","MAERC",72073,62,523,"17",27.178735,-81.16967,22,6,1.2,1.5,"swine","4/11/2017 1:30","F","A",NA
"72074","MAERC",72074,62,523,"17",27.1787667,-81.1695233,96,6,1.3,1.5,"swine","4/11/2017 2:00","F","A",NA
"72075","MAERC",72075,62,523,"17",27.1786583,-81.1697417,0,8,1.1,1.4,"swine","4/11/2017 2:29","F","A",NA
"72076","MAERC",72076,62,523,"17",27.17878,-81.16966,24,9,0.9,1.2,"swine","4/11/2017 3:00","F","A",NA
"72077","MAERC",72077,62,523,"17",27.1788883,-81.1699217,-28,9,0.8,1.1,"swine","4/11/2017 3:30","F","A",NA
"72078","MAERC",72078,62,523,"17",27.1789083,-81.1697717,0,8,0.9,1.2,"swine","4/11/2017 4:00","F","A",NA
"72079","MAERC",72079,62,523,"17",27.17883,-81.169735,8,7,1,1.4,"swine","4/11/2017 4:30","F","A",NA
"72080","MAERC",72080,62,523,"17",27.1787917,-81.1697533,6,8,0.9,1.2,"swine","4/11/2017 5:00","F","A",NA
"72081","MAERC",72081,62,523,"17",27.178845,-81.1695583,16,6,1.9,2.1,"swine","4/11/2017 5:30","F","A",NA
"72082","MAERC",72082,62,523,"17",27.1787183,-81.1692433,62,9,1,1.3,"swine","4/11/2017 6:00","F","A",NA
"72083","MAERC",72083,62,523,"17",27.17932,-81.169555,-42,8,1.1,1.4,"swine","4/11/2017 6:30","F","A",NA
"72084","MAERC",72084,62,523,"17",27.1787817,-81.1687183,-2,7,1.1,1.4,"swine","4/11/2017 6:59","F","A",NA
"72085","MAERC",72085,62,523,"17",27.1776983,-81.1668033,24,8,1,1.3,"swine","4/11/2017 7:30","F","A",NA
"72086","MAERC",72086,62,523,"17",27.1773533,-81.1664,-18,8,0.9,1.2,"swine","4/11/2017 8:00","F","A",NA
"72087","MAERC",72087,62,523,"17",27.177695,-81.1668583,44,9,1,1.2,"swine","4/11/2017 8:30","F","A",NA
"72088","MAERC",72088,62,523,"17",27.1775467,-81.1670133,-6,7,1.4,1.6,"swine","4/11/2017 9:00","F","A",NA
"72089","MAERC",72089,62,523,"17",27.177705,-81.1670267,4,7,1.3,1.6,"swine","4/11/2017 9:30","F","A",NA
"72090","MAERC",72090,62,523,"17",27.1777233,-81.16712,-6,5,1.5,1.7,"swine","4/11/2017 10:00","F","A",NA
"72091","MAERC",72091,62,523,"17",27.177695,-81.1671567,4,7,1.1,1.4,"swine","4/11/2017 10:30","F","A",NA
"72092","MAERC",72092,62,523,"17",27.177685,-81.1671333,-4,5,2,5.1,"swine","4/11/2017 11:00","F","A",NA
"72093","MAERC",72093,62,523,"17",27.17763,-81.167095,0,6,1.5,1.8,"swine","4/11/2017 11:30","F","A",NA
"72094","MAERC",72094,62,523,"17",27.177365,-81.1667717,18,6,1.3,1.6,"swine","4/11/2017 12:00","F","A",NA
"72095","MAERC",72095,62,523,"17",27.177595,-81.1670417,24,7,0.9,1.2,"swine","4/11/2017 12:30","F","A",NA
"72096","MAERC",72096,62,523,"17",27.17759,-81.1669817,20,7,0.9,1.2,"swine","4/11/2017 13:00","F","A",NA
"72097","MAERC",72097,62,523,"17",27.1776483,-81.1671233,10,7,0.8,1.2,"swine","4/11/2017 13:30","F","A",NA
"72098","MAERC",72098,62,523,"17",27.17779,-81.16701,-50,6,1.1,1.4,"swine","4/11/2017 14:00","F","A",NA
"72099","MAERC",72099,62,523,"17",27.1776583,-81.1671,2,6,1.2,2.3,"swine","4/11/2017 14:30","F","A",NA
"72100","MAERC",72100,62,523,"17",27.17768,-81.1671183,-2,7,1.1,1.4,"swine","4/11/2017 15:00","F","A",NA
"72101","MAERC",72101,62,523,"17",27.1776467,-81.167005,28,7,1.2,1.5,"swine","4/11/2017 15:30","F","A",NA
"72102","MAERC",72102,62,523,"17",27.177715,-81.167125,6,8,1.2,1.4,"swine","4/11/2017 16:00","F","A",NA
