"","location","OBJECTID","sensor_id","field_code","individual_ID","fix_lat","fix_long","alt","sat","HDOP","PDOP","species","gmtneg5","sex","age","GPS.positional.dilution"
"1","MAERC",1,61,436,"1",27.1662767,-81.1784967,20,8,0.9,1.2,"swine","4/10/2017 0:00","F","A",NA
"2","MAERC",2,61,436,"1",27.1661467,-81.1784917,56,6,1.1,1.5,"swine","4/10/2017 0:30","F","A",NA
"3","MAERC",3,61,436,"1",27.165565,-81.1784417,36,6,1.8,3.4,"swine","4/10/2017 1:00","F","A",NA
"4","MAERC",4,61,436,"1",27.1663467,-81.1786167,22,5,1.4,1.7,"swine","4/10/2017 1:30","F","A",NA
"5","MAERC",5,61,436,"1",27.166245,-81.1786367,26,9,1,1.3,"swine","4/10/2017 2:00","F","A",NA
"6","MAERC",6,61,436,"1",27.1662433,-81.178615,0,7,1.3,1.6,"swine","4/10/2017 2:30","F","A",NA
"7","MAERC",7,61,436,"1",27.1662633,-81.1785283,14,9,0.9,1.2,"swine","4/10/2017 3:00","F","A",NA
"8","MAERC",8,61,436,"1",27.1663217,-81.17862,4,8,0.9,1.2,"swine","4/10/2017 3:30","F","A",NA
"9","MAERC",9,61,436,"1",27.16628,-81.1786,-6,8,0.9,1.3,"swine","4/10/2017 4:00","F","A",NA
"10","MAERC",10,61,436,"1",27.1663067,-81.1787067,14,9,0.9,1.8,"swine","4/10/2017 4:30","F","A",NA
"11","MAERC",11,61,436,"1",27.1662417,-81.178595,2,9,0.8,1.1,"swine","4/10/2017 5:00","F","A",NA
"12","MAERC",12,61,436,"1",27.16617,-81.1786167,4,9,1,1.3,"swine","4/10/2017 5:30","F","A",NA
"13","MAERC",13,61,436,"1",27.1663833,-81.178855,0,9,0.9,1.2,"swine","4/10/2017 6:00","F","A",NA
"14","MAERC",14,61,436,"1",27.1663883,-81.1785617,-4,8,1,1.3,"swine","4/10/2017 6:30","F","A",NA
"15","MAERC",15,61,436,"1",27.165865,-81.1788367,120,6,1.2,1.5,"swine","4/10/2017 6:59","F","A",NA
"16","MAERC",16,61,436,"1",27.1662667,-81.1783883,-20,8,1,1.3,"swine","4/10/2017 7:29","F","A",NA
"17","MAERC",17,61,436,"1",27.1661817,-81.1784767,-64,7,1.2,1.5,"swine","4/10/2017 8:00","F","A",NA
"18","MAERC",18,61,436,"1",27.1664983,-81.178565,18,8,1.1,1.3,"swine","4/10/2017 8:30","F","A",NA
"19","MAERC",19,61,436,"1",27.1665117,-81.1783917,12,9,0.9,1.2,"swine","4/10/2017 9:00","F","A",NA
"20","MAERC",20,61,436,"1",27.1664083,-81.177565,10,11,0.8,1.1,"swine","4/10/2017 9:30","F","A",NA
"21","MAERC",21,61,436,"1",27.1683467,-81.17719,2,9,0.8,1.1,"swine","4/10/2017 10:00","F","A",NA
"22","MAERC",22,61,436,"1",27.167815,-81.1776283,-12,7,1.3,1.5,"swine","4/10/2017 10:30","F","A",NA
"23","MAERC",23,61,436,"1",27.166175,-81.1786367,10,5,1.6,1.9,"swine","4/10/2017 11:00","F","A",NA
"24","MAERC",24,61,436,"1",27.1661767,-81.1783883,20,8,1,1.3,"swine","4/10/2017 11:30","F","A",NA
"25","MAERC",25,61,436,"1",27.1664617,-81.1787467,32,6,1.1,1.4,"swine","4/10/2017 12:00","F","A",NA
"26","MAERC",26,61,436,"1",27.166385,-81.17863,56,9,0.8,1.2,"swine","4/10/2017 12:30","F","A",NA
"27","MAERC",27,61,436,"1",27.1664033,-81.17862,48,10,0.8,1.4,"swine","4/10/2017 13:00","F","A",NA
"28","MAERC",28,61,436,"1",27.16649,-81.178435,20,8,1,1.8,"swine","4/10/2017 13:30","F","A",NA
"29","MAERC",29,61,436,"1",27.1664717,-81.178625,14,8,0.9,1.2,"swine","4/10/2017 14:00","F","A",NA
"30","MAERC",30,61,436,"1",27.1666417,-81.17823,32,6,1.1,1.4,"swine","4/10/2017 14:30","F","A",NA
"31","MAERC",31,61,436,"1",27.166355,-81.1783383,-42,5,1.6,1.9,"swine","4/10/2017 15:00","F","A",NA
"32","MAERC",32,61,436,"1",27.1664383,-81.17852,0,7,1.3,1.6,"swine","4/10/2017 15:30","F","A",NA
"33","MAERC",33,61,436,"1",27.166385,-81.1784233,16,8,1,1.8,"swine","4/10/2017 16:00","F","A",NA
"34","MAERC",34,61,436,"1",27.1662267,-81.17847,4,7,1.5,2.4,"swine","4/10/2017 16:30","F","A",NA
"35","MAERC",35,61,436,"1",27.1661333,-81.17827,-42,5,1.8,2,"swine","4/10/2017 17:00","F","A",NA
"36","MAERC",36,61,436,"1",27.166475,-81.1785617,-4,10,0.8,1.1,"swine","4/10/2017 17:30","F","A",NA
"37","MAERC",37,61,436,"1",27.167555,-81.1772133,-4,10,0.8,1.1,"swine","4/10/2017 18:00","F","A",NA
"38","MAERC",38,61,436,"1",27.16782,-81.1772067,14,10,0.8,1.1,"swine","4/10/2017 18:30","F","A",NA
"39","MAERC",39,61,436,"1",27.1676767,-81.1777083,-40,8,1,1.3,"swine","4/10/2017 19:00","F","A",NA
"40","MAERC",40,61,436,"1",27.1664117,-81.17871,0,9,1,1.3,"swine","4/10/2017 19:30","F","A",NA
"41","MAERC",41,61,436,"1",27.1650167,-81.1778867,-6,8,1.1,1.3,"swine","4/10/2017 20:00","F","A",NA
"42","MAERC",42,61,436,"1",27.1667617,-81.17953,12,6,1.1,1.4,"swine","4/10/2017 20:30","F","A",NA
"43","MAERC",43,61,436,"1",27.1655233,-81.1789233,14,5,1.5,2.5,"swine","4/10/2017 21:00","F","A",NA
"44","MAERC",44,61,436,"1",27.166215,-81.1787317,20,8,0.9,1.2,"swine","4/10/2017 21:30","F","A",NA
"45","MAERC",45,61,436,"1",27.1662967,-81.1786983,-20,8,0.9,1.3,"swine","4/10/2017 22:00","F","A",NA
